Date,Close,Open,High,Low
28-04-2009,116.451,117.025,117.207,115.278
29-04-2009,117.35,116.986,117.637,116.829
30-04-2009,116.138,116.178,116.503,114.692
01-05-2009,115.748,115.37,116.086,114.94
04-05-2009,117.572,116.204,118.367,115.8
05-05-2009,117.846,118.94,119.462,117.403
06-05-2009,118.719,118.197,119.045,117.624
07-05-2009,119.305,119.305,119.305,119.305
08-05-2009,119.224,119.36,119.988,118.003
11-05-2009,119.047,118.873,119.417,118.451
12-05-2009,120.409,120.133,120.461,119.381
13-05-2009,120.669,119.969,121.374,119.615
14-05-2009,120.981,120.539,121.033,120.032
15-05-2009,121.345,120.747,121.813,120.422
18-05-2009,120.097,121.202,121.462,119.772
19-05-2009,120.747,120.318,120.929,120.019
20-05-2009,122.138,121.423,122.568,120.903
21-05-2009,123.907,122.451,123.959,121.943
22-05-2009,124.908,124.674,125.442,124.388
25-05-2009,124.908,124.674,125.442,124.388
26-05-2009,124.206,123.491,124.323,123.127
27-05-2009,124.219,123.868,125.039,123.478
28-05-2009,125.26,123.946,125.715,123.634
29-05-2009,127.483,126.833,127.704,126.43
01-06-2009,127.444,128.134,128.615,126.846
02-06-2009,128.017,128.043,128.524,127.405
03-06-2009,125.572,127.158,127.548,124.271
04-06-2009,127.743,125.247,127.886,125.104
05-06-2009,125.182,127.288,128.095,124.219
08-06-2009,123.868,123.725,123.933,122.737
09-06-2009,124.154,124.466,125.429,123.868
10-06-2009,124.154,125.286,125.637,123.218
11-06-2009,125.104,123.712,125.26,122.503
12-06-2009,122.334,123.205,123.283,121.748
15-06-2009,120.617,121.527,122.086,120.487
16-06-2009,121.228,121.891,122.321,121.059
17-06-2009,121.722,120.864,122.073,120.734
18-06-2009,121.54,121.878,122.555,121.215
19-06-2009,121.748,121.93,122.204,121.358
22-06-2009,119.772,120.344,120.591,118.471
23-06-2009,120.201,120.032,120.591,119.186
24-06-2009,121.514,120.578,122.815,120.552
25-06-2009,122.178,121.917,122.295,121.41
26-06-2009,122.373,123.062,123.413,121.8
29-06-2009,122.334,122.438,122.646,121.54
30-06-2009,120.604,122.347,122.581,119.993
01-07-2009,122.412,121.007,123.153,120.994
02-07-2009,121.072,121.553,121.683,120.5
03-07-2009,121.072,121.553,121.683,120.5
06-07-2009,120.201,120.045,120.409,119.681
07-07-2009,120.825,120.994,121.059,119.863
08-07-2009,118.25,119.668,119.798,117.665
09-07-2009,119.152,118.991,119.5,118.328
10-07-2009,118.672,118.043,118.879,117.916
13-07-2009,119.97,118.625,120.081,118.041
14-07-2009,119.998,120.216,120.605,119.959
15-07-2009,122.15,121.567,122.422,121.502
16-07-2009,121.632,122.021,122.215,121.282
17-07-2009,121.904,121.45,122.176,121.139
20-07-2009,123.369,123.81,124.199,123.071
21-07-2009,123.11,123.408,123.991,122.772
22-07-2009,123.939,123.213,124.16,122.824
23-07-2009,124.147,123.823,124.484,123.291
24-07-2009,123.926,123.939,124.069,123.589
27-07-2009,123.978,124.406,124.549,123.641
28-07-2009,122.085,123.447,123.9,121.411
29-07-2009,120.53,121.463,121.93,120.257
30-07-2009,121.515,121.191,121.787,121.035
31-07-2009,123.913,121.813,124.458,121.061
03-08-2009,124.302,124.756,125.08,124.043
04-08-2009,125.715,123.745,126.104,123.628
05-08-2009,125.275,125.547,125.715,124.6
06-08-2009,124.834,125.754,126.312,124.717
07-08-2009,124.393,124.963,125.495,123.874
10-08-2009,122.76,123.784,123.939,122.409
11-08-2009,122.85,123.071,123.408,122.332
12-08-2009,123.486,122.552,123.732,122.448
13-08-2009,124.004,124.328,124.86,123.745
14-08-2009,122.993,124.458,124.626,122.345
17-08-2009,121.32,121.528,121.567,120.737
18-08-2009,121.761,121.671,122.021,121.295
19-08-2009,122.487,121.476,122.747,121.1
20-08-2009,122.085,122.539,122.643,121.671
21-08-2009,123.771,122.669,124.445,122.63
24-08-2009,122.345,124.186,124.263,121.308
25-08-2009,122.643,123.097,123.978,122.435
26-08-2009,122.617,122.967,123.265,122.021
27-08-2009,122.811,122.915,123.46,122.202
28-08-2009,124.302,123.46,125.054,123.434
31-08-2009,123.615,123.849,123.849,122.422
01-09-2009,124.004,123.356,124.199,123.097
02-09-2009,126.856,124.121,127.232,124.004
03-09-2009,129.345,128.049,129.579,127.245
04-09-2009,129.216,128.632,129.436,127.958
07-09-2009,129.216,128.632,129.436,127.958
08-09-2009,129.618,130.396,142.582,129.008
09-09-2009,129.268,129.773,130.162,128.956
10-09-2009,129.229,128.347,129.592,127.699
11-09-2009,130.473,130.227,131.42,129.825
14-09-2009,129.786,129.553,130.292,129.423
15-09-2009,130.46,129.566,130.707,128.736
16-09-2009,132.262,132.094,132.535,131.459
17-09-2009,131.394,131.705,132.431,131.018
18-09-2009,130.979,131.536,132.236,130.681
21-09-2009,130.279,129.929,130.525,129.281
22-09-2009,131.653,131.848,132.509,131.523
23-09-2009,131.51,131.757,131.899,130.551
24-09-2009,129.501,131.692,132.366,128.645
25-09-2009,128.555,129.151,129.436,127.764
28-09-2009,128.879,128.723,129.384,128.516
29-09-2009,128.918,128.464,129.281,127.842
